,,,,,Full Description,Killed,Injured,threat_id,Community,Province,Count,Attack Type,Date of Attack
Takestan,,1,Shooting,February 2026,- Takestan: 1 attack (failed assassination attempt via shooting on MP Abbas Bigdeli) in February 2026.,0,0,,,,,,
Total unique locations attacked,,1,Unknown Type,Unknown Date,Total unique locations attacked: 35,0,0,,,,,,
,,1,Unknown Type,"February 28, 2026","All attacks occurred on February 28, 2026",0,0,,,,,,
List of attacks,,1,Unknown Type,Unknown Date,"List of attacks:
1",0,0,,,,,,
,"Piranshahr, West Azerbaijan",1,Unknown Type,Unknown Date,"Piranshahr, West Azerbaijan Province: Radar facility destroyed by Israeli F35 airstrike.
2",0,0,,,,,,
,"Urmia, West Azerbaijan",1,Unknown Type,Unknown Date,"Urmia, West Azerbaijan Province: General attack by US/Israel.
3",0,0,,,,,,
,"Subashi, Hamedan",1,Unknown Type,Unknown Date,"Subashi, Hamedan Province: Radar site destroyed by airstrike.
4",0,0,,,,,,
,"Nahavand, Hamedan",1,Explosion,Unknown Date,"Nahavand, Hamedan Province: Explosions/attacks reported.
5",0,0,,,,,,
,"Zanjan, Zanjan",1,Unknown Type,Unknown Date,"Zanjan, Zanjan Province: 216th Armored Combat Brigade targeted by airstrike.
6",0,0,,,,,,
,"Tabriz, East Azerbaijan",1,Explosion,Unknown Date,"Tabriz, East Azerbaijan Province: Fakouri Air Base and civilian airport facilities (including army aviation fighter jets, runway, control tower, fighter hangars, and passenger airport runway) targeted and destroyed by Israeli F35 airstrike; multiple explosions/attacks reported.
7",0,0,,,,,,
Ilam,,1,Explosion,Unknown Date,"Ilam: Multiple explosions and targeted attacks reported, including the Sheshdar area.
8",0,0,,,,,,
Kamyaran,,1,Unknown Type,Unknown Date,"Kamyaran: Attack reported.
9",0,0,,,,,,
Ajabshir,,1,Unknown Type,Unknown Date,"Ajabshir: Military base attacked.
10",0,0,,,,,,
Kermanshah,,1,Explosion,Unknown Date,"Kermanshah: Attacks reported including Kenesht Strait; multiple explosions/attacks.
11",0,0,,,,,,
Kangavar,,1,Explosion,Unknown Date,"Kangavar: Explosions/attacks reported.
12",0,0,,,,,,
Qazvin,,1,Missile,Unknown Date,"Qazvin: Shahid Rajaei Power Plant attacked; Javadnia Training Barracks hit by missile.
13",0,0,,,,,,
,"Abyek, Qazvin",1,Missile,Unknown Date,"Abyek, Qazvin Province: Residential area hit by missile attack by Israel.
14",0,0,,,,,,
,"e Khomeini, Khuzestan",1,Unknown Type,Unknown Date,"Bandar-e Khomeini, Khuzestan Province: Attack reported.
15",0,0,,,,,,
,"Omidiyeh, Khuzestan",1,Missile,Unknown Date,"Omidiyeh, Khuzestan Province: Fifth Fighter Base missile attack.
16",0,0,,,,,,
,"Dezful, Khuzestan",1,Explosion,Unknown Date,"Dezful, Khuzestan Province: Air defense site, Hafez neighborhood, and Governor's office attacked; explosions reported.
17",0,0,,,,,,
Khuzestan Province,Khuzestan,1,Unknown Type,Unknown Date,"Khuzestan Province: General air defense sites attacked by Israel (distinct from specific cities).
18",0,0,,,,,,
,"Bandar Abbas, Hormozgan",1,Unknown Type,Unknown Date,"Bandar Abbas, Hormozgan Province: Naval base, Bahonar Pier, Bahonar Air Defense, and Oil Depot severely attacked by US/Israel.
19",0,0,,,,,,
,"Minab, Hormozgan",1,Missile,Unknown Date,"Minab, Hormozgan Province: Girls' elementary school hit by missile attack by Israel.
20",0,0,,,,,,
,"Hajiabad, Hormozgan",1,Explosion,Unknown Date,"Hajiabad, Hormozgan Province: Explosion reported.
21",0,0,,,,,,
,"Qeshm, Hormozgan",1,Unknown Type,Unknown Date,"Qeshm, Hormozgan Province: IRGC Command Center targeted.
22",0,0,,,,,,
Tehran,,1,Explosion,Unknown Date,"Tehran: Multiple targets attacked by US/Israel including General Staff Headquarters (East Tehran), Army General Staff Headquarters (East Tehran), Ministry of Intelligence, Ministry of Defense, Commanders' Office, Atomic Energy Organization of Iran, Parchin, Supreme Leader's House, Government Buildings, Judiciary Buildings, Mehrabad area, Palestine Square, Vesal Street, Enghelab intersection (bombing/missile attack by Israel), Narmak (Hedayat School attacked with casualties), Central Tehran (residential homes attacked); multiple general explosions/attacks reported, hostile targets engaged.
23",0,0,,,,,,
Lorestan Province,Lorestan,1,Unknown Type,Unknown Date,"Lorestan Province: General attack by US/Israel, including Khorramabad.
24",0,0,,,,,,
Alborz Province,Alborz,1,Explosion,Unknown Date,"Alborz Province: General attack by US/Israel, including explosions/attacks in Karaj.
25",0,0,,,,,,
Qom,,1,Explosion,Unknown Date,"Qom: Attack by US/Israel; multiple explosions reported.
26",0,0,,,,,,
,"Chabahar, Sistan and Baluchestan",1,Unknown Type,Unknown Date,"Chabahar, Sistan and Baluchestan Province: Attack by US/Israel; Air Force facilities targeted.
27",0,0,,,,,,
,"Konarak, Sistan and Baluchestan",1,Unknown Type,Unknown Date,"Konarak, Sistan and Baluchestan Province: City and Air Force facilities targeted.
28",0,0,,,,,,
Ardabil,,1,Unknown Type,Unknown Date,"Ardabil: General attack by US/Israel.
29",0,0,,,,,,
Isfahan,,1,Explosion,Unknown Date,"Isfahan: Severe explosions/attacks by US/Israel.
30",0,0,,,,,,
Bushehr,,1,Explosion,Unknown Date,"Bushehr: Military facilities and air defense sites attacked; general attack/explosions.
31",0,0,,,,,,
,"Doukouheh, Bushehr",1,Unknown Type,Unknown Date,"Doukouheh, Bushehr Province: Air defense site attacked.
32",0,0,,,,,,
,"Jam, Bushehr",1,Missile,Unknown Date,"Jam, Bushehr Province: Missile City attacked by missile fire.
33",0,0,,,,,,
Kharg Island,,1,Explosion,Unknown Date,"Kharg Island: Explosions/attacks reported.
34",0,0,,,,,,
Kerman,,1,Missile,Unknown Date,"Kerman: Tharallah IRGC base (northeast Kerman) hit by missile.
35",0,0,,,,,,
West Iran,,1,Missile,Unknown Date,West Iran: Military targets and missile launchers subjected to military attacks by Israel (general area).,0,0,,,,,,
Minab,Hormozgan,1,Unknown Type,2026-02-28,"{""threat_id"":""THRT-IRN-MIN-001"",""category"":""Geopolitical"",""attack_type"":""Airstrike"",""location"":{""city"":""Minab"",""province"":""Hormozgan"",""coordinates"":[27.1475,57.0658]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T06:00:00Z"",""details"":""US and Israeli airstrike hit a girls’ elementary school in Minab, killing 63 students and wounding at least 80 others.""}",0,0,,,,,,
Al Udeid Air Base,Qatar,1,Missile,2026-02-28,"[{""threat_id"":""THRT-IRN-QTR-001"",""category"":""Geopolitical"",""attack_type"":""Ballistic Missile"",""location"":{""city"":""Al Udeid Air Base"",""province"":""Qatar"",""coordinates"":[25.1278,51.3219]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iranian ballistic missiles reportedly targeted Al Udeid Air Base in Qatar",0,0,,,,,,
,,1,Missile,Unknown Date,"While Iranian reports claimed destruction of an advanced American radar, Qatari military and other reports stated all six incoming missiles were successfully intercepted",0,0,,,,,,
Manama,Bahrain,1,Drone,2026-02-28,"Blasts were heard in Doha.""},{""threat_id"":""THRT-IRN-BHR-001"",""category"":""Geopolitical"",""attack_type"":""Missile and Drone"",""location"":{""city"":""Manama"",""province"":""Bahrain"",""coordinates"":[26.2235,50.6202]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iranian missiles and a Shahed-136 drone targeted the U.S",0,0,,,,,,
,,1,Unknown Type,Unknown Date,Navy’s 5th Fleet headquarters and a US military base in Bahrain,0,0,,,,,,
,,1,Drone,Unknown Date,"Reports indicate three impacts, including a radar (AN/GSC-52B MET) hit by a drone",0,0,,,,,,
,,1,Unknown Type,Unknown Date,"The target building was described as an empty warehouse, and no casualties were reported",0,0,,,,,,
Tel Aviv,Tel Aviv District,1,Bombing,2026-02-28,"The base was reportedly evacuated a week prior.""},{""threat_id"":""THRT-IRN-ISR-001"",""category"":""Geopolitical"",""attack_type"":""Missile, Drone, Bombing"",""location"":{""city"":""Tel Aviv"",""province"":""Tel Aviv District"",""coordinates"":[32.0853,34.7818]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched a new wave of missile and Shahed-136 drone attacks towards Israel",0,0,,,,,,
,,1,Missile,Unknown Date,"Reports indicate 125 missiles fired in the first barrage, with 35 entering Israeli airspace and most being intercepted",0,0,,,,,,
,,1,Unknown Type,Unknown Date,"Sirens sounded in central and northern Israel, including Tel Aviv",0,0,,,,,,
,,1,Unknown Type,Unknown Date,Specific targets included the Barak building in Tel Aviv,0,0,,,,,,
,,1,Explosion,Unknown Date,"Explosions were reported in greater Tel Aviv, Kafr Qasim, and the Gush Dan belt",0,0,,,,,,
,,1,Missile,Unknown Date,One person was lightly injured after a missile struck a 20-story residential building in Tirat Hacarmel,0,0,,,,,,
Fujairah,Fujairah,1,Explosion,2026-02-28,"Multiple casualties were also reported from Iranian bombing in Tel Aviv.""},{""threat_id"":""THRT-IRN-UAE-001"",""category"":""Geopolitical"",""attack_type"":""Explosion"",""location"":{""city"":""Fujairah"",""province"":""Fujairah"",""coordinates"":[25.1118,56.1967]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""An explosion rocked the Fujairah air base in the United Arab Emirates",0,0,,,,,,
Abu Dhabi,Abu Dhabi,1,Explosion,2026-02-28,"Details on the cause (e.g., missile impact, internal) are not specified.""},{""threat_id"":""THRT-IRN-UAE-002"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":""Abu Dhabi"",""province"":""Abu Dhabi"",""coordinates"":[24.4667,54.3667]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Multiple explosions were reported in Abu Dhabi after Iranian missiles were intercepted by UAE air defenses",0,0,,,,,,
Dubai,Dubai,1,IED,2026-02-28,"One person was killed by falling debris from the intercepted projectiles.""},{""threat_id"":""THRT-IRN-UAE-003"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":""Dubai"",""province"":""Dubai"",""coordinates"":[25.2048,55.2708]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched missile strikes on Dubai, targeting the Palm Hotel (a tourist center) and business infrastructure reportedly tied to Trump and IOF-linked interests",0,0,,,,,,
,,1,Explosion,Unknown Date,"Explosions rocked the city, and flights were suspended",0,0,,,,,,
Azraq,Zarqa Governorate,1,Missile,2026-02-28,"Most missiles in the UAE were reported to be intercepted.""},{""threat_id"":""THRT-IRN-JOR-001"",""category"":""Geopolitical"",""attack_type"":""Ballistic Missile"",""location"":{""city"":""Azraq"",""province"":""Zarqa Governorate"",""coordinates"":[31.884,36.804]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched ballistic missiles targeting a US base (Muwaffaq Al Salti Air Base) in Jordan",0,0,,,,,,
,,1,Missile,Unknown Date,Jordan confirmed downing two Iranian ballistic missiles,0,0,,,,,,
Ali Al Salem Air Base,Al Jahra Governorate,1,Missile,2026-02-28,"Most strikes in Jordan were reported to be intercepted.""},{""threat_id"":""THRT-IRN-KWT-001"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":""Ali Al Salem Air Base"",""province"":""Al Jahra Governorate"",""coordinates"":[29.3333,47.45]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched missiles targeting Ali Al Salem Air Base in Kuwait",0,0,,,,,,
Al-Kharj,Riyadh Province,1,Missile,2026-02-28,"The Kuwaiti military reported dealing with incoming missiles in its airspace, with most strikes reported to be intercepted.""},{""threat_id"":""THRT-IRN-SAU-001"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":""Al-Kharj"",""province"":""Riyadh Province"",""coordinates"":[24.053,47.575]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched missiles targeting Prince Sultan Air Base in Saudi Arabia",0,0,,,,,,
